Postal Code,Latitude,Longitude
90031,34.0766932,-118.216012
90016,34.0263634,-118.3721521
90065,34.1032728,-118.237237
90034,34.0203234,-118.422068
90802,33.758721,-118.2417558
90028,34.0981853,-118.327536
91040,34.2602353,-118.3147464
90012,34.064243,-118.2399896
90036,34.0607833,-118.3480679
91042,34.2562986,-118.292479
91406,34.2001498,-118.4976494
90042,34.1138237,-118.1908635
91330,34.2389212,-118.529324
90026,34.0720796,-118.279396
91405,34.2008132,-118.4276641
90071,34.0497343,-118.255629
90010,34.0621612,-118.3049974
90004,34.069434,-118.309525
90057,34.0549074,-118.2738281
90068,34.1066011,-118.3274
90019,34.0474224,-118.3178556
90033,34.0400525,-118.2204042
90292,33.9841779,-118.466189
91316,34.1653191,-118.526151
91436,34.1561516,-118.4786603
90037,34.0056317,-118.2829672
90018,34.0327896,-118.3286871
90005,34.0583446,-118.2889641
90029,34.0894543,-118.2872977
90027,34.1052869,-118.2975759
90020,34.0686216,-118.3147982
90077,34.0725553,-118.36758
90046,34.0823094,-118.3617135
90003,33.9664056,-118.2829846
90044,33.9602923,-118.2881295
90043,33.9798334,-118.3349323
90059,33.9350135,-118.2331185
90032,34.0856698,-118.1893702
90744,33.7877778,-118.2505556
90066,34.0044361,-118.430568
91606,34.1873388,-118.3983532
91344,34.2787293,-118.5091003
91411,34.1675,-118.466944
91352,34.2211111,-118.4186111
91303,34.2049389,-118.6024929
90025,34.0416667,-118.444722
90015,34.04422,-118.2599289
91040-1923,34.2599712,-118.323967
90031-2212,34.0761988,-118.214034
91311,34.2569724,-118.592637
90731,33.7406367,-118.2818491
90024,34.0634558,-118.4445262
90035,34.0451945,-118.376304
90039,34.0949253,-118.2713064
90014,34.0466789,-118.2550741
90049,34.1259081,-118.4778413
90045,33.9728718,-118.395598
90013,34.0479704,-118.2471827
90017,34.0490405,-118.2560063
91040-2937,34.2592518,-118.3063392
91607,34.1578394,-118.4132217
90004-4307,34.0692294,-118.3033681
90021,34.0217183,-118.245277
90031-2703,34.0740599,-118.2087196
90041,34.1389047,-118.2138722
90710-3805,33.7818646,-118.2980305
90007,34.0169985,-118.2822768
90402,34.0276058,-118.5181395
90027-4202,34.105215,-118.2913752
90038,34.0910273,-118.331389
90038-1202,34.0910473,-118.336518
91604,34.1429249,-118.3943675
91605,34.2002586,-118.397032
90028-8534,34.098548,-118.311626
660003,4.8025015,-75.691672
90034-4000,34.0252468,-118.3972169
90232,34.0250334,-118.3964686
90043-2434,33.9883918,-118.3304291
91307,34.18764,-118.625674
91367,34.1856179,-118.626515
90095,34.0741881,-118.439347
91423,34.1480562,-118.4305459
91601,34.1647435,-118.374243
90064,34.0299222,-118.4214045
90291,33.9866331,-118.4563167
90710,33.7793052,-118.309127
91402,34.2352117,-118.448477
91331-5522,34.2415986,-118.426108
91343,34.2354183,-118.473801
91311-2908,34.2575856,-118.605801
91402-1417,34.2357838,-118.4507417
90069,34.0501821,-118.2568186
90094,33.9731821,-118.4223595
91304,34.2214137,-118.5979816
90293,33.9575236,-118.4495595
90272,34.0463902,-118.525663
91108,34.026059,-118.334067
90011,34.0073173,-118.2661911
91403,34.153551,-118.465823
90027-5517,34.0995269,-118.2894422
90006,34.0530242,-118.2924797
90045-2032,33.9767076,-118.3766242
90016-5013,34.0218762,-118.3718604
90004-2609,34.0801347,-118.309577
90025-4617,34.0496576,-118.435558
90230,33.9815679,-118.4090115
90019-4228,34.0477036,-118.344057
90046-2715,34.0977551,-118.3553452
90029-2242,34.0921096,-118.279796
91306,34.2014648,-118.562636
90089-0374,34.0193325,-118.28484
91364,34.157097,-118.60558
90008,34.0051456,-118.331688
630004140,4.5319968,-75.6747359
90048,34.0763044,-118.361829
91401,34.1874576,-118.449041
90501,33.8344854,-118.3080509
91356,34.1707822,-118.5401698
90028-7567,34.0978027,-118.3431865
90096,33.9772337,-118.416587
91342,34.3038635,-118.478341
90002,33.9444597,-118.245906
90067,34.0550656,-118.4134437
90002-3024,33.945834,-118.2410584
90007-2030,34.0328124,-118.275261
90018-1540,34.040168,-118.3080338
90041-1070,34.1415053,-118.224087
90245,33.9800344,-118.4654686
90046-7573,34.0839335,-118.3500872
91364-1724,34.1681273,-118.6051326
91364-1201,34.1654558,-118.6235962
90023,34.0214922,-118.2086505
91316-3323,34.1641368,-118.521704
91307-3520,34.1899024,-118.6249973
90232-3338,34.0201438,-118.4034498
91303-1048,34.2012401,-118.6108236
90061,33.9245119,-118.2823161
91340,34.2746673,-118.4487158
90034-6915,34.0134064,-118.4171315
91335,34.1867916,-118.5532532
90079,34.0407449,-118.2549069
91324,34.2338459,-118.555725
91326,34.2744438,-118.5570995
90004-3624,34.0767342,-118.2872352
90248,33.8638868,-118.285795
91335-6440,34.1867869,-118.5366111
90029-3517,34.0858129,-118.291495
90029-2615,34.0909933,-118.292083
90026-2106,34.089071,-118.2768487
90029-3515,34.0837833,-118.2912802
90029-2105,34.0927533,-118.280401
90029-3528,34.08683,-118.2915257
90029-2910,34.0857533,-118.2866605
90029-2616,34.0906967,-118.292413
90029-3519,34.0880591,-118.2915204
90029-2631,34.0911088,-118.2933966
90029-3511,34.0834367,-118.295093
90029-3543,34.0834578,-118.2956238
90029-2620,34.0902376,-118.291517
90029-2522,34.0839455,-118.2951253
90029-3609,34.0838988,-118.2870669
91316-4008,34.1599811,-118.5082398
90227,34.1025219,-118.2763314
90032-1643,34.0874941,-118.175825
90017-2571,34.0491424,-118.261357
90731-4720,33.7291635,-118.291992
91325,34.2111904,-118.5111089
90047,33.9743048,-118.3092874
90062,34.0035543,-118.3168426
91602,34.1518707,-118.3633575
91330-8246,34.2395852,-118.532181
79075260,-20.5470541,-54.6377206
90025-5031,34.0566094,-118.426033
90247,33.9023476,-118.291186
90048-3414,34.0749119,-118.375526
90019-4232,34.0473382,-118.33585
90292-5614,33.9902342,-118.447294
90089,34.018882,-118.2910885
90405,34.0203128,-118.444708
90066-3803,34.0039516,-118.434083
90064-1938,34.0407148,-118.4379932
66003,4.7976777,-75.6910042
90007-2549,34.0286455,-118.2754357
90042-4229,34.1105765,-118.1902914
91608,34.1372727,-118.3583271
90732,33.7383727,-118.2874226
90062-1654,34.0105138,-118.3086816
90025-3155,34.0468814,-118.4485003
91344-6329,34.2646028,-118.5017645
91326-3507,34.2579901,-118.5235696
91405-2419,34.2008717,-118.440379
90290,33.9845602,-118.4368157
90028-6807,34.1020017,-118.309654
91345,34.2595576,-118.4665684
92011,34.0326764,-118.357455
90210,34.0626814,-118.352949
90006-5010,34.0477478,-118.2818861
90027-2553,34.1092186,-118.270724
90056,33.982214,-118.3713275
91325-4106,34.221153,-118.5358027
91331,34.2735018,-118.4260973
90296,33.9596876,-118.448329
90064-2828,34.027772,-118.443168
90230-4821,34.0003807,-118.4028147
90035-4245,34.0491121,-118.3858397
91324-2509,34.234101,-118.5567066
90066-3814,34.004471,-118.4316039
90035-4664,34.0442796,-118.3789883
90045-1954,33.9755864,-118.3733952
90019-2576,34.053671,-118.3550746
90036-3523,34.0656852,-118.3442739
90025-2603,34.0398042,-118.462961
90019-2909,34.0494687,-118.3438419
90019-3061,34.0490884,-118.3439284
90025-6102,34.0338265,-118.4543665
90029-2537,34.0911836,-118.2962985
90025-2202,34.0423466,-118.4587796
90006-4005,34.0481524,-118.2895253
90021-2932,34.0268239,-118.2296604
90292-9991,33.9856408,-118.439948
90001,33.9882518,-118.2577756
91506,34.1581738,-118.3081958
90006-5800,34.0403669,-118.3087819
91356-3213,34.1723024,-118.5476188
90025-1705,34.0496918,-118.4600156
90260,33.9501069,-118.378701
90027-3403,34.1035834,-118.3094604
90028-6034,34.1020908,-118.3426147
90047-5422,33.9597569,-118.3006885
90016-4263,34.0264921,-118.3348155
90031-3319,34.0656734,-118.2151338
90031-3157,34.0687876,-118.2002487
91324-5670,34.2379064,-118.5571222
00103,34.2386839,-118.5552744
90007-3257,34.0260827,-118.2768769
91401-4213,34.1769007,-118.4474908
90012-1181,34.0668973,-118.2434019
91356-1411,34.1794458,-118.5398562
91364-2733,34.1579783,-118.6366359
90020-2556,34.0634267,-118.2974959
90065-4404,34.1229569,-118.2250898
91345-2422,34.2583356,-118.4663628
90291-3501,33.9967658,-118.458743
90291-3517,33.997584,-118.4593188
90202,33.9830211,-118.4307553
91401-1426,34.1905379,-118.4480059
91405-3059,34.1980976,-118.4484397
91331-1620,34.2744415,-118.4121139
90026-7734,34.0692971,-118.265873
90064-2319,34.0444104,-118.4208968
90003-1720,33.9742688,-118.2829642
90044-4222,33.9312596,-118.2829603
90044-3712,33.9875411,-118.290221
91605-1610,34.216915,-118.388123
91356-2970,34.1722777,-118.5620707
90501-3920,33.8311569,-118.3033609
91331-6025,34.2331128,-118.4377801
90028-7104,34.0974372,-118.3354803
91325-1614,34.2553533,-118.5027242
91311-2937,34.2579775,-118.5988322
91307-3216,34.1879546,-118.6415175
91335-6302,34.1879789,-118.5548733
91304-4308,34.2190639,-118.5898231
91325-4300,34.220381,-118.5183431
91402-3610,34.2234528,-118.4483468
91605-5034,34.2018666,-118.4119227
91352-2037,34.231705,-118.3673522
90006-5222,34.0439024,-118.3018047
90016-1450,34.0410408,-118.3499734
90001-3772,33.959812,-118.25721
90023-3412,34.0225356,-118.2164586
90011-3525,34.005541,-118.2556156
90037-2429,34.00705,-118.29184
90047-2253,33.973648,-118.308655
90744-2638,33.790279,-118.262791
90003-2236,33.9745623,-118.2660102
90047-5423,33.9602009,-118.3020256
90020-1806,34.0680745,-118.2920691
90003-4504,33.9452909,-118.2788265
90035-8500,34.0592103,-118.3766692
99039,34.0594693,-118.2404622
91606-4657,34.1796217,-118.3960404
91331-4726,34.2437974,-118.422954
91329,34.223436,-118.5018982
90058,34.0043703,-118.2423246
90057-4918,34.05332,-118.275484
90006-4525,34.0402398,-118.2920618
90717,33.789188,-118.308356
90026-3604,34.0787904,-118.2793431
91316-3860,34.161641,-118.512719
90031-2219,34.0740255,-118.2157973
91505,34.1445193,-118.3507996
91355,34.1793184,-118.5437398
90033-3654,34.0407304,-118.1977471
90744-6717,33.7801161,-118.2400599
91344-4204,34.2730221,-118.503546
91325-2608,34.2344601,-118.5034907
91326-4146,34.2774435,-118.5696545
91324-3309,34.2310248,-118.56016
91606-3719,34.1886697,-118.3712919
90012-2103,34.0605549,-118.2443239
91522,34.1488173,-118.3376774
91205,34.1246726,-118.2424194
91367-1604,34.1857389,-118.6237934
91365,34.1709273,-118.5897904
91602-2532,34.1519019,-118.3519198
90016-4407,34.0233377,-118.3738178
90731-1274,33.7604866,-118.2940681
91331-6020,34.2356619,-118.4398924
91326-1729,34.2773053,-118.5597072
90015-3018,34.0374541,-118.2639597
91344-1701,34.2897095,-118.5013014
90026-3148,34.0771308,-118.2653387
91040-1737,34.2640173,-118.3368717
90023-1528,34.0310758,-118.2076904
91326-4109,34.2811661,-118.5697019
90010-3401,34.0620947,-118.3156564
90744-4522,33.780976,-118.2617219
91401-2649,34.1849675,-118.4471435
90731-7415,33.7467848,-118.2612771
90041-1238,34.1395723,-118.2109252
90034-5702,34.0231024,-118.4054804
90065-1256,34.09692,-118.2311083
90032-1940,34.0854123,-118.186949
90041-3327,34.1240201,-118.2185196
90039-2720,34.1076995,-118.2638655
90044-3530,33.9685613,-118.2911605
90035-4232,34.0507134,-118.3839586
90064-1508,34.0366456,-118.4445363
91601-3121,34.1677578,-118.378642
90066-3941,34.0059224,-118.428286
90016-1417,34.0410634,-118.3492721
90272-3719,34.0450662,-118.5224839
91324-2036,34.2497389,-118.5365903
90024-2613,34.0802889,-118.4353407
91335-2819,34.2054083,-118.536434
91042-2137,34.2584396,-118.3014854
91352-2054,34.2362917,-118.3669332
90248-4007,33.8676013,-118.2903083
91316-3402,34.1610802,-118.5006834
90710-2805,33.7950037,-118.3002182
91602-2121,34.1484582,-118.3707463
91403-1530,34.1629754,-118.4666217
91605-5738,34.1992018,-118.3970589
91406-1232,34.2147641,-118.4842313
90064-2320,34.0440622,-118.4203995
90045-5663,33.9451797,-118.3811863
91311-4127,34.2472732,-118.6035614
91406-5441,34.1930828,-118.5102578
90732-4418,33.7219515,-118.3102921
91401-6038,34.1718329,-118.4207076
91325-3301,34.2289864,-118.5288086
91304-3230,34.2190199,-118.6280938
91311-3410,34.2576189,-118.5736464
90210-1333,34.1270082,-118.4062385
90049-1133,34.1307344,-118.4921256
90731-7232,33.7169788,-118.2761172
91105,34.1474675,-118.1767373
90063,34.0445701,-118.194562
90013;90015,34.0421269,-118.2564996
90042-2643,34.119026,-118.192815
90045-3604,33.9555556,-118.3957615
90065-4405,34.121739,-118.2243318
90036-4315,34.061788,-118.3387299
91030,34.1232149,-118.1674324
91606-3012,34.1870912,-118.4135189
90002-2924,33.9435489,-118.243744
90027-2526,34.1130469,-118.2753777
91606-3722,34.1863381,-118.3698581
91367-2227,34.1866931,-118.6032066
91371,34.1847889,-118.5829122
91364-2319,34.1673307,-118.5846951
90212,34.0570964,-118.4037735
90025-6311,34.0478456,-118.430427
90039-1502,34.1290361,-118.2639159
90006-1301,34.055071,-118.3000749
91324-3519,34.2307719,-118.5502263
91606-3139,34.1870714,-118.4049791
90275,33.7466398,-118.314059
90731-3333,33.7406239,-118.2784266
90733,33.7123707,-118.2939533
90037-2563,34.0040591,-118.2868466
90731-1422,33.7531157,-118.2933379
90011-2519,34.0125534,-118.2569016
90744-6512,33.7656477,-118.2557805
90502,33.8493379,-118.2915407
90018-4107,34.0212554,-118.3250965
90043-2815,33.9892609,-118.351319
90003-3323,33.9604285,-118.2743333
90047-1130,33.989446,-118.3117389
90003-1526,33.9812521,-118.2736632
91607-1637,34.1718973,-118.4042855
90050,33.9457071,-118.3085775
90731-7364,33.7300362,-118.2679438
90045-5802,33.9404991,-118.3971222
90272-3002,34.0422584,-118.5543897
90291-3879,33.9913464,-118.4592045
90034-6509,34.0189058,-118.4213173
90045-4419,33.9594963,-118.3851366
90049-4013,34.0585089,-118.4795511
90029-3737,34.083802,-118.3080782
90029-3507,34.0833583,-118.2913433
90029-3026,34.0911433,-118.2830958
90026-1530,34.0908953,-118.2791846
90029-2112,34.0953223,-118.2840443
90045-2002,33.9769735,-118.3713771
90027-5814,34.097829,-118.297016
90027-5840,34.0978783,-118.3001263
90029-2309,34.0887324,-118.3096738
90028-5420,34.1035667,-118.3176783
90028-8127,34.0955295,-118.3301408
90036-2829,34.0694085,-118.3470911
90028-7509,34.0982193,-118.3438888
90064-3727,34.0259792,-118.4315371
90024-2704,34.0598203,-118.4489651
90034-5406,34.0251829,-118.4113703
90046-4101,34.0972898,-118.3531563
90012-2410,34.0585055,-118.2523993
90068-1006,34.1417224,-118.3407514
90068-1106,34.1378645,-118.3410286
90057-1016,34.0716083,-118.2826858
90026-1310,34.0892469,-118.2690056
90057-4101,34.0554964,-118.2739264
90006-3702,34.0500016,-118.2770398
90042-3922,34.1057732,-118.1995143
90005-1342,34.0633447,-118.293264
99027,34.1073097,-118.2718917
90023-2616,34.0275927,-118.2192069
90065-1412,34.1152607,-118.2458972
90065-2207,34.1153946,-118.2446464
90065-1413,34.1151019,-118.2467455
90851,34.1149881,-118.2463544
90014-2312,34.0411356,-118.2478878
90075-9997,34.0469593,-118.2888726
90016-3604,34.0302883,-118.3347586
90042-3547,34.1164536,-118.1847358
90033-1315,34.0584901,-118.212314
90032-3813,34.0662766,-118.1806318
90023-1709,34.0268812,-118.1981478
90041-1011,34.143088,-118.2284217
90033-2914,34.0463206,-118.208538
90016-5312,34.0212591,-118.3551181
91344-1447,34.3025644,-118.5092262
91602-2440,34.1525801,-118.3611733
91601-3705,34.1645695,-118.3786716
91325-2600,34.2353803,-118.5030129
91405-1146,34.2127992,-118.459329
90046-1128,34.1261927,-118.3744493
91601-2430,34.1716868,-118.3709459
91601-2919,34.1718714,-118.3611193
91335-3349,34.2080508,-118.5190198
91331-3620,34.2577094,-118.4329877
91401-3806,34.1790567,-118.439575
91324-2222,34.2423752,-118.5369793
91343-2530,34.2445474,-118.5000082
91335-2821,34.2081975,-118.5365584
91345-2424,34.2602302,-118.4663537
91303-1513,34.201389,-118.5952736
91352-3949,34.2185615,-118.3699249
91311-3215,34.2569583,-118.5876465
91311-2312,34.2568839,-118.5896001
91306-1630,34.2216369,-118.5714292
91605-2524,34.2155086,-118.3872216
91331-2536,34.2699795,-118.4173139
91342-4119,34.308789,-118.4478643
91342-5165,34.2967595,-118.4503441
91344-7051,34.2578334,-118.4844733
91344-7401,34.2559297,-118.5014187
91312,34.3035138,-118.4778686
91324-2136,34.2418119,-118.5553453
91324-2421,34.2350666,-118.5613978
91311-5211,34.249414,-118.5793486
91331-2352,34.2718956,-118.4268411
91367-6619,34.1688788,-118.5970159
91406-4555,34.1946282,-118.5007543
91331-1627,34.2743671,-118.4112078
91411-3438,34.1713592,-118.466689
91316-3842,34.1625572,-118.5175388
91411-2509,34.1781171,-118.4643228
91316-1613,34.1717544,-118.5193359
91345-1918,34.2639105,-118.4679493
91403-1402,34.163209,-118.4490995
13359,34.147156,-118.4244079
91605-5827,34.2009625,-118.3839505
91343-4506,34.2282362,-118.5006734
91042-2707,34.2462778,-118.2765746
91402-6010,34.2169427,-118.4481199
91214,34.2325728,-118.2688453
91330-8272,34.2400443,-118.5270144
91367-3507,34.180768,-118.6066486
91504,34.2068808,-118.342384
91303-2211,34.1942985,-118.5888892
91326-3433,34.2588238,-118.5356389
91331-4100,34.245149,-118.419354
90073,34.0570501,-118.4585757
91328,34.2199668,-118.5338768
11434,34.1808472,-118.3802963
53202,43.0583514,-87.8832886
91436-3542,34.151872,-118.4941601
90018-4166,34.0207311,-118.327295
90018-4168,34.0207784,-118.3275275
91402-4105,34.2209734,-118.4514477
91324-3514,34.2286098,-118.5545249
91406-4022,34.2007598,-118.4833991
91335-4615,34.2006272,-118.5276212
90744-2615,33.7910876,-118.2604837
90262,33.9388928,-118.2280569
91602-2209,34.1525185,-118.3678565
91335-4018,34.20143,-118.5423336
91364-1837,34.1678522,-118.6032984
91201,34.1576048,-118.2981634
91607-2711,34.1680246,-118.397011
90089-0871,34.0216572,-118.2806068
90046-2549,34.1008664,-118.3637703
91345-1111,34.2710115,-118.4656392
91303-2624,34.1918345,-118.602608
91330-8449,34.2399733,-118.5249229
90301,33.9620238,-118.3744632
